SEED#: 3329 | score: 743643955.3331736 | lookahead: 28
SEED#: 3329 | score: 758559879.2897091 | lookahead: 19
SEED#: 4201 | score: 967278944.5697725 | lookahead: 20
SEED#: 4201 | score: 948566577.5207428 | lookahead: 30
SEED#: 4201 | score: 986288940.6672003 | lookahead: 23
SEED#: 4201 | score: 968653072.9096535 | lookahead: 29
SEED#: 4201 | score: 984862910.1514834 | lookahead: 24
SEED#: 4201 | score: 976183172.8375313 | lookahead: 17
SEED#: 4201 | score: 984131895.6309513 | lookahead: 16
SEED#: 4201 | score: 968055153.2855967 | lookahead: 15
SEED#: 4201 | score: 967720139.2575675 | lookahead: 18
SEED#: 4201 | score: 976773742.982509 | lookahead: 28
SEED#: 4201 | score: 967021700.6249704 | lookahead: 19
SEED#: 4201 | score: 976100528.9035244 | lookahead: 27
SEED#: 4201 | score: 965750578.2419063 | lookahead: 21
SEED#: 4201 | score: 981402838.0886395 | lookahead: 26
SEED#: 4201 | score: 994913150.6019591 | lookahead: 22
SEED#: 4201 | score: 991653234.679347 | lookahead: 25
SEED#: 8761 | score: 825993962.9729675 | lookahead: 29
SEED#: 8761 | score: 835007666.0574226 | lookahead: 25
SEED#: 8761 | score: 816092228.9159929 | lookahead: 22
SEED#: 8761 | score: 841192654.9960269 | lookahead: 30
SEED#: 8761 | score: 821300053.748473 | lookahead: 23
SEED#: 8761 | score: 821569094.4407568 | lookahead: 20
SEED#: 8761 | score: 809601513.4959078 | lookahead: 19
SEED#: 8761 | score: 812499894.6013864 | lookahead: 15
SEED#: 8761 | score: 811440104.4581159 | lookahead: 21
SEED#: 8761 | score: 811083572.0509661 | lookahead: 24
SEED#: 8761 | score: 799946243.629666 | lookahead: 16
SEED#: 8761 | score: 812388404.99842 | lookahead: 17
SEED#: 8761 | score: 831747602.6770554 | lookahead: 27
SEED#: 8761 | score: 799363734.3560821 | lookahead: 18
SEED#: 8761 | score: 806785467.9394697 | lookahead: 26
SEED#: 8761 | score: 827692596.2371991 | lookahead: 28
SEED#: 2663 | score: 800511079.2331578 | lookahead: 29
SEED#: 2663 | score: 817174517.7329133 | lookahead: 25
SEED#: 2663 | score: 859707777.8138672 | lookahead: 18
SEED#: 2663 | score: 828090188.8181862 | lookahead: 23
SEED#: 2663 | score: 832697491.216987 | lookahead: 28
SEED#: 2663 | score: 854664521.9046292 | lookahead: 16
SEED#: 2663 | score: 841924511.3508955 | lookahead: 19
SEED#: 2663 | score: 862022980.577305 | lookahead: 21
SEED#: 2663 | score: 829694163.7553337 | lookahead: 26
SEED#: 2663 | score: 846204332.3064027 | lookahead: 17
SEED#: 2663 | score: 816359922.0480378 | lookahead: 30
SEED#: 2663 | score: 835105951.350704 | lookahead: 15
SEED#: 2663 | score: 856689485.3679843 | lookahead: 20
SEED#: 2663 | score: 848265103.8324581 | lookahead: 22
SEED#: 2663 | score: 807049755.3098536 | lookahead: 27
SEED#: 2663 | score: 837860852.301942 | lookahead: 24
SEED#: 4507 | score: 887073643.5287882 | lookahead: 29
SEED#: 4507 | score: 893915910.7927816 | lookahead: 26
SEED#: 4507 | score: 894427129.2054639 | lookahead: 16
SEED#: 4507 | score: 892461632.1776264 | lookahead: 28
SEED#: 4507 | score: 888655436.476923 | lookahead: 18
SEED#: 4507 | score: 879868311.9253874 | lookahead: 30
SEED#: 4507 | score: 894959563.7850984 | lookahead: 15
SEED#: 4507 | score: 864928582.7599777 | lookahead: 24
SEED#: 4507 | score: 890737382.4186622 | lookahead: 27
SEED#: 4507 | score: 889697917.9221501 | lookahead: 20
SEED#: 4507 | score: 876519974.018862 | lookahead: 22
SEED#: 4507 | score: 878118841.4591097 | lookahead: 25
SEED#: 4507 | score: 889408706.0038847 | lookahead: 19
SEED#: 4507 | score: 894325727.8540758 | lookahead: 21
SEED#: 4507 | score: 881399148.2243584 | lookahead: 17
SEED#: 4507 | score: 889077812.4475201 | lookahead: 23
SEED#: 6247 | score: 799596280.0810417 | lookahead: 27
SEED#: 6247 | score: 812968735.3087558 | lookahead: 23
SEED#: 6247 | score: 805404907.6275271 | lookahead: 28
SEED#: 6247 | score: 791284728.5445313 | lookahead: 18
SEED#: 6247 | score: 803295090.7391834 | lookahead: 21
SEED#: 6247 | score: 808112036.715386 | lookahead: 26
SEED#: 6247 | score: 806057711.7595251 | lookahead: 24
SEED#: 6247 | score: 801916531.1105884 | lookahead: 15
SEED#: 6247 | score: 824535277.2633077 | lookahead: 16
SEED#: 6247 | score: 807683173.4875163 | lookahead: 20
SEED#: 6247 | score: 789884301.9990015 | lookahead: 25
SEED#: 6247 | score: 823905163.1959813 | lookahead: 17
SEED#: 6247 | score: 819183732.8700864 | lookahead: 19
SEED#: 6247 | score: 802457108.9763886 | lookahead: 22
SEED#: 6247 | score: 816103505.9787118 | lookahead: 30
SEED#: 6247 | score: 808776809.6877406 | lookahead: 29
SEED#: 2281 | score: 800056491.0849558 | lookahead: 25
SEED#: 2281 | score: 815832865.8567516 | lookahead: 23
SEED#: 2281 | score: 830304976.9395244 | lookahead: 27
SEED#: 2281 | score: 813590694.4258182 | lookahead: 26
SEED#: 2281 | score: 805084459.7665459 | lookahead: 17
SEED#: 2281 | score: 810951680.678095 | lookahead: 30
SEED#: 2281 | score: 805693817.99766 | lookahead: 24
SEED#: 2281 | score: 810463080.8677756 | lookahead: 29
SEED#: 2281 | score: 810303235.7069283 | lookahead: 22
SEED#: 2281 | score: 799692951.4907485 | lookahead: 15
SEED#: 2281 | score: 773444061.7949545 | lookahead: 16
SEED#: 2281 | score: 815434282.8086534 | lookahead: 18
SEED#: 2281 | score: 819713569.9177797 | lookahead: 28
SEED#: 2281 | score: 808661646.3185269 | lookahead: 19
SEED#: 2281 | score: 804154822.4636054 | lookahead: 21
SEED#: 2281 | score: 824924336.7199887 | lookahead: 20
SEED#: 4363 | score: 818728627.7765388 | lookahead: 26
SEED#: 4363 | score: 807071320.969646 | lookahead: 21
SEED#: 4363 | score: 791685818.5004768 | lookahead: 15
SEED#: 4363 | score: 812186485.7182227 | lookahead: 29
SEED#: 4363 | score: 828052464.2287855 | lookahead: 30
SEED#: 4363 | score: 819588924.8457032 | lookahead: 18
SEED#: 4363 | score: 795077878.43792 | lookahead: 17
SEED#: 4363 | score: 795517268.6569886 | lookahead: 16
SEED#: 4363 | score: 818945094.7393485 | lookahead: 24
SEED#: 4363 | score: 816964104.6596155 | lookahead: 25
SEED#: 4363 | score: 791328650.5245782 | lookahead: 19
SEED#: 4363 | score: 809098282.6093448 | lookahead: 20
SEED#: 4363 | score: 803512491.2098134 | lookahead: 27
SEED#: 4363 | score: 791914028.5226058 | lookahead: 23
SEED#: 4363 | score: 815173612.479862 | lookahead: 28
SEED#: 4363 | score: 807610620.8959341 | lookahead: 22
SEED#: 5693 | score: 876005371.5521787 | lookahead: 28
SEED#: 5693 | score: 884027841.046959 | lookahead: 30
SEED#: 5693 | score: 877894816.3397919 | lookahead: 24
SEED#: 5693 | score: 878005259.5102524 | lookahead: 20
SEED#: 5693 | score: 866903676.469923 | lookahead: 22
SEED#: 5693 | score: 860607768.0895057 | lookahead: 18
SEED#: 5693 | score: 874934507.6361324 | lookahead: 17
SEED#: 5693 | score: 859123212.1562808 | lookahead: 19
SEED#: 5693 | score: 870090606.292392 | lookahead: 16
SEED#: 5693 | score: 872770435.3796842 | lookahead: 25
SEED#: 5693 | score: 857851496.2292303 | lookahead: 21
SEED#: 5693 | score: 863395712.8254973 | lookahead: 15
SEED#: 5693 | score: 877033311.8030955 | lookahead: 29
SEED#: 5693 | score: 882960241.932695 | lookahead: 26
SEED#: 5693 | score: 870668544.5389137 | lookahead: 23
SEED#: 5693 | score: 882391642.7773747 | lookahead: 27

2311: {697228405.6673411: 23, 697669626.5092896: 27, 697738422.8504734: 22, 701210129.1375655: 30, 698919861.3186312: 24}
3329: {771565941.2452902: 15, 758865680.3151375: 18, 766145018.9386824: 27, 761924274.541377: 16, 768276628.0790683: 20}
4201: {986288940.6672003: 23, 984862910.1514834: 24, 984131895.6309513: 16, 994913150.6019591: 22, 991653234.679347: 25}
8761: {825993962.9729675: 29, 835007666.0574226: 25, 841192654.9960269: 30, 831747602.6770554: 27, 827692596.2371991: 28}
2663: {859707777.8138672: 18, 854664521.9046292: 16, 862022980.577305: 21, 856689485.3679843: 20, 848265103.8324581: 22}
4507: {893915910.7927816: 26, 894427129.2054639: 16, 892461632.1776264: 28, 894959563.7850984: 15, 894325727.8540758: 21}
6247: {812968735.3087558: 23, 824535277.2633077: 16, 823905163.1959813: 17, 819183732.8700864: 19, 816103505.9787118: 30}
2281: {815832865.8567516: 23, 830304976.9395244: 27, 815434282.8086534: 18, 819713569.9177797: 28, 824924336.7199887: 20}
4363: {818728627.7765388: 26, 828052464.2287855: 30, 819588924.8457032: 18, 818945094.7393485: 24, 816964104.6596155: 25}
5693: {884027841.046959: 30, 877894816.3397919: 24, 878005259.5102524: 20, 882960241.932695: 26, 882391642.7773747: 27}

SEED#: 2311 | score: 708638458.2891467 | k: 31
SEED#: 2311 | score: 701524584.5528617 | k: 22
SEED#: 2311 | score: 700006583.1067885 | k: 19
SEED#: 2311 | score: 709718494.5954888 | k: 33
SEED#: 2311 | score: 700539270.7631167 | k: 21
SEED#: 2311 | score: 695066574.4090377 | k: 34
SEED#: 2311 | score: 708437924.299858 | k: 23
SEED#: 2311 | score: 697146797.7915604 | k: 17
SEED#: 2311 | score: 711608573.6679261 | k: 32
SEED#: 2311 | score: 708322321.3193811 | k: 26
SEED#: 2311 | score: 692754668.1452116 | k: 35
SEED#: 2311 | score: 705531928.4226743 | k: 25
SEED#: 2311 | score: 693548468.3899593 | k: 15
SEED#: 2311 | score: 708595734.2370412 | k: 29
SEED#: 2311 | score: 709953313.7168217 | k: 28
SEED#: 2311 | score: 696730658.8690196 | k: 16
SEED#: 2311 | score: 710249707.9562633 | k: 30
SEED#: 2311 | score: 700887617.3944733 | k: 20
SEED#: 2311 | score: 707182632.2974621 | k: 27
SEED#: 2311 | score: 700360312.0299677 | k: 18
SEED#: 2311 | score: 706414564.4187495 | k: 24
